scenario,period,mean_theta,attention_share,offline_social_capital,mean_fitness,subjective_satisfaction,entropy
I1_reproduce_static_no_transition,0,0.35006946695581853,0.35006946695581853,0.6499305330441815,1.0,0.5368883666060529,0.79576731712824
I1_reproduce_static_no_transition,1,0.3500694683196331,0.3500694683196331,0.649930531680367,1.0,0.5368888314789063,0.7957708616362402
I1_reproduce_static_no_transition,2,0.35006946968417973,0.35006946968417973,0.6499305303158203,1.0,0.5368892963517377,0.7957744060227728
I1_reproduce_static_no_transition,3,0.35006947104945807,0.35006947104945807,0.6499305289505419,1.0,0.5368897612245498,0.7957779502878595
I1_reproduce_static_no_transition,4,0.3500694724154677,0.3500694724154677,0.6499305275845323,1.0,0.5368902260973455,0.7957814944315217
I1_reproduce_static_no_transition,5,0.3500694737822082,0.3500694737822082,0.6499305262177918,1.0,0.5368906909701278,0.7957850384537808
I1_reproduce_static_no_transition,6,0.35006947514967923,0.35006947514967923,0.6499305248503208,1.0,0.5368911558428994,0.7957885823546582
I1_reproduce_static_no_transition,7,0.3500694765178804,0.3500694765178804,0.6499305234821195,1.0,0.5368916207156631,0.795792126134175
I1_reproduce_static_no_transition,8,0.3500694778868112,0.3500694778868112,0.6499305221131888,0.9999999999999999,0.5368920855884218,0.7957956697923526
I1_reproduce_static_no_transition,9,0.3500694792564715,0.3500694792564715,0.6499305207435284,1.0,0.5368925504611786,0.7957992133292121
I1_reproduce_static_no_transition,10,0.3500694806268608,0.3500694806268608,0.6499305193731393,1.0,0.5368930153339359,0.7958027567447745
I1_reproduce_static_no_transition,11,0.35006948199797855,0.35006948199797855,0.6499305180020214,1.0,0.5368934802066967,0.7958063000390609
I1_reproduce_static_no_transition,12,0.3500694833698246,0.3500694833698246,0.6499305166301754,1.0,0.5368939450794639,0.7958098432120925
I1_reproduce_static_no_transition,13,0.35006948474239846,0.35006948474239846,0.6499305152576016,1.0,0.5368944099522402,0.7958133862638899
I1_reproduce_static_no_transition,14,0.35006948611569977,0.35006948611569977,0.6499305138843002,1.0,0.5368948748250285,0.7958169291944741
I1_reproduce_static_no_transition,15,0.3500694874897282,0.3500694874897282,0.6499305125102718,1.0,0.5368953396978314,0.7958204720038661
I1_reproduce_static_no_transition,16,0.3500694888644833,0.3500694888644833,0.6499305111355167,1.0,0.536895804570652,0.7958240146920862
I1_reproduce_static_no_transition,17,0.35006949023996475,0.35006949023996475,0.6499305097600352,1.0,0.5368962694434929,0.7958275572591555
I1_reproduce_static_no_transition,18,0.3500694916161721,0.3500694916161721,0.6499305083838278,1.0,0.5368967343163569,0.7958310997050947
I1_reproduce_static_no_transition,19,0.3500694929931051,0.3500694929931051,0.6499305070068949,1.0,0.5368971991892466,0.795834642029924
I1_reproduce_static_no_transition,20,0.35006949437076323,0.35006949437076323,0.6499305056292368,1.0,0.536897664062165,0.7958381842336643
I1_reproduce_static_no_transition,21,0.35006949574914625,0.35006949574914625,0.6499305042508537,1.0,0.5368981289351148,0.7958417263163357
I1_reproduce_static_no_transition,22,0.3500694971282537,0.3500694971282537,0.6499305028717464,1.0,0.5368985938080988,0.7958452682779589
I1_reproduce_static_no_transition,23,0.3500694985080851,0.3500694985080851,0.6499305014919149,0.9999999999999999,0.5368990586811195,0.7958488101185542
I1_reproduce_static_no_transition,24,0.3500694998886404,0.3500694998886404,0.6499305001113596,0.9999999999999999,0.5368995235541799,0.7958523518381421
I1_reproduce_static_no_transition,25,0.350069501269919,0.350069501269919,0.649930498730081,1.0,0.5368999884272828,0.7958558934367426
I1_reproduce_static_no_transition,26,0.3500695026519205,0.3500695026519205,0.6499304973480795,0.9999999999999999,0.5369004533004306,0.7958594349143758
I1_reproduce_static_no_transition,27,0.35006950403464465,0.35006950403464465,0.6499304959653553,1.0,0.5369009181736263,0.7958629762710623
I1_reproduce_static_no_transition,28,0.35006950541809106,0.35006950541809106,0.6499304945819089,1.0,0.5369013830468724,0.7958665175068217
I1_reproduce_static_no_transition,29,0.35006950680225934,0.35006950680225934,0.6499304931977407,1.0,0.5369018479201718,0.7958700586216744
I1_reproduce_static_no_transition,30,0.3500695081871491,0.3500695081871491,0.6499304918128509,1.0,0.5369023127935271,0.7958735996156403
I1_reproduce_static_no_transition,31,0.35006950957276,0.35006950957276,0.64993049042724,1.0,0.5369027776669411,0.795877140488739
I1_reproduce_static_no_transition,32,0.3500695109590917,0.3500695109590917,0.6499304890409083,1.0,0.5369032425404162,0.795880681240991
I1_reproduce_static_no_transition,33,0.35006951234614386,0.35006951234614386,0.6499304876538561,1.0,0.5369037074139554,0.7958842218724157
I1_reproduce_static_no_transition,34,0.350069513733916,0.350069513733916,0.649930486266084,1.0,0.5369041722875613,0.7958877623830329
I1_reproduce_static_no_transition,35,0.35006951512240786,0.35006951512240786,0.6499304848775922,1.0,0.5369046371612364,0.7958913027728626
I1_reproduce_static_no_transition,36,0.35006951651161905,0.35006951651161905,0.649930483488381,1.0,0.5369051020349837,0.7958948430419243
I1_reproduce_static_no_transition,37,0.3500695179015492,0.3500695179015492,0.6499304820984508,1.0,0.5369055669088054,0.7958983831902374
I1_reproduce_static_no_transition,38,0.35006951929219804,0.35006951929219804,0.6499304807078019,1.0,0.5369060317827046,0.7959019232178218
I1_reproduce_static_no_transition,39,0.35006952068356506,0.35006952068356506,0.6499304793164349,1.0,0.5369064966566837,0.7959054631246971
I1_reproduce_static_no_transition,40,0.35006952207565,0.35006952207565,0.64993047792435,1.0,0.5369069615307455,0.7959090029108825
I1_reproduce_static_no_transition,41,0.35006952346845255,0.35006952346845255,0.6499304765315475,1.0,0.5369074264048924,0.7959125425763975
I1_reproduce_static_no_transition,42,0.35006952486197224,0.35006952486197224,0.6499304751380277,1.0,0.5369078912791272,0.7959160821212615
I1_reproduce_static_no_transition,43,0.3500695262562088,0.3500695262562088,0.6499304737437912,1.0,0.5369083561534524,0.7959196215454938
I1_reproduce_static_no_transition,44,0.3500695276511618,0.3500695276511618,0.6499304723488382,1.0,0.5369088210278709,0.7959231608491139
I1_reproduce_static_no_transition,45,0.3500695290468309,0.3500695290468309,0.649930470953169,1.0,0.5369092859023848,0.7959267000321405
I1_reproduce_static_no_transition,46,0.35006953044321587,0.35006953044321587,0.6499304695567841,1.0,0.5369097507769973,0.7959302390945933
I1_reproduce_static_no_transition,47,0.3500695318403162,0.3500695318403162,0.6499304681596838,1.0,0.5369102156517106,0.7959337780364911
I1_reproduce_static_no_transition,48,0.35006953323813167,0.35006953323813167,0.6499304667618684,1.0,0.5369106805265274,0.7959373168578533
I1_reproduce_static_no_transition,49,0.3500695346366618,0.3500695346366618,0.6499304653633382,1.0,0.5369111454014502,0.7959408555586986
I1_reproduce_static_no_transition,50,0.35006953603590635,0.35006953603590635,0.6499304639640937,1.0,0.5369116102764818,0.7959443941390462
I1_reproduce_static_no_transition,51,0.35006953743586494,0.35006953743586494,0.6499304625641351,1.0,0.5369120751516246,0.7959479325989148
I1_reproduce_static_no_transition,52,0.3500695388365372,0.3500695388365372,0.6499304611634629,1.0,0.5369125400268813,0.7959514709383235
I1_reproduce_static_no_transition,53,0.3500695402379228,0.3500695402379228,0.6499304597620772,1.0,0.5369130049022542,0.7959550091572912
I1_reproduce_static_no_transition,54,0.3500695416400214,0.3500695416400214,0.6499304583599785,1.0,0.5369134697777462,0.7959585472558365
I1_reproduce_static_no_transition,55,0.35006954304283266,0.35006954304283266,0.6499304569571673,1.0,0.5369139346533597,0.7959620852339784
I1_reproduce_static_no_transition,56,0.35006954444635624,0.35006954444635624,0.6499304555536438,1.0,0.5369143995290971,0.795965623091735
I1_reproduce_static_no_transition,57,0.35006954585059175,0.35006954585059175,0.6499304541494082,1.0,0.5369148644049612,0.7959691608291256
I1_reproduce_static_no_transition,58,0.35006954725553885,0.35006954725553885,0.6499304527444612,1.0,0.5369153292809543,0.7959726984461686
I1_reproduce_static_no_transition,59,0.35006954866119727,0.35006954866119727,0.6499304513388027,1.0,0.536915794157079,0.7959762359428825
I1_reproduce_static_no_transition,60,0.3500695500675666,0.3500695500675666,0.6499304499324334,1.0,0.5369162590333381,0.7959797733192858
I1_reproduce_static_no_transition,61,0.3500695514746466,0.3500695514746466,0.6499304485253534,1.0,0.5369167239097337,0.7959833105753971
I1_reproduce_static_no_transition,62,0.3500695528824368,0.3500695528824368,0.6499304471175632,1.0,0.5369171887862684,0.7959868477112347
I1_reproduce_static_no_transition,63,0.35006955429093695,0.35006955429093695,0.6499304457090631,1.0,0.536917653662945,0.795990384726817
I1_reproduce_static_no_transition,64,0.35006955570014664,0.35006955570014664,0.6499304442998534,1.0,0.5369181185397656,0.7959939216221623
I1_reproduce_static_no_transition,65,0.3500695571100656,0.3500695571100656,0.6499304428899344,1.0,0.536918583416733,0.7959974583972891
I1_reproduce_static_no_transition,66,0.3500695585206935,0.3500695585206935,0.6499304414793066,1.0,0.5369190482938495,0.7960009950522153
I1_reproduce_static_no_transition,67,0.35006955993203,0.35006955993203,0.64993044006797,1.0,0.5369195131711177,0.7960045315869594
I1_reproduce_static_no_transition,68,0.3500695613440747,0.3500695613440747,0.6499304386559253,1.0,0.5369199780485401,0.7960080680015392
I1_reproduce_static_no_transition,69,0.35006956275682727,0.35006956275682727,0.6499304372431727,1.0,0.5369204429261191,0.7960116042959733
I1_reproduce_static_no_transition,70,0.35006956417028745,0.35006956417028745,0.6499304358297125,1.0,0.536920907803857,0.7960151404702793
I1_reproduce_static_no_transition,71,0.3500695655844549,0.3500695655844549,0.6499304344155451,1.0,0.5369213726817567,0.7960186765244754
I1_reproduce_static_no_transition,72,0.35006956699932923,0.35006956699932923,0.6499304330006708,1.0,0.5369218375598201,0.7960222124585797
I1_reproduce_static_no_transition,73,0.3500695684149101,0.3500695684149101,0.6499304315850899,1.0,0.5369223024380502,0.7960257482726102
I1_reproduce_static_no_transition,74,0.3500695698311973,0.3500695698311973,0.6499304301688027,1.0,0.5369227673164491,0.7960292839665843
I1_reproduce_static_no_transition,75,0.35006957124819044,0.35006957124819044,0.6499304287518095,1.0,0.5369232321950193,0.7960328195405204
I1_reproduce_static_no_transition,76,0.3500695726658891,0.3500695726658891,0.6499304273341109,1.0,0.5369236970737632,0.7960363549944361
I1_reproduce_static_no_transition,77,0.3500695740842931,0.3500695740842931,0.6499304259157068,1.0,0.5369241619526833,0.7960398903283491
I1_reproduce_static_no_transition,78,0.350069575503402,0.350069575503402,0.649930424496598,1.0,0.5369246268317821,0.7960434255422772
I1_reproduce_static_no_transition,79,0.35006957692321555,0.35006957692321555,0.6499304230767844,1.0,0.5369250917110618,0.7960469606362381
I1_reproduce_static_no_transition,80,0.35006957834373337,0.35006957834373337,0.6499304216562667,1.0,0.536925556590525,0.7960504956102493
I1_reproduce_selection_only,0,0.35006946695581853,0.35006946695581853,0.6499305330441815,1.8794762654666748,0.5368883666060529,0.79576731712824
I1_reproduce_selection_only,1,0.33789274234253763,0.33789274234253763,0.6621072576574624,1.9074881812022086,0.5414988384761265,0.7949516431033157
I1_reproduce_selection_only,2,0.32587280549906633,0.32587280549906633,0.6741271945009337,1.935381543967663,0.5464833791779747,0.794085666761955
I1_reproduce_selection_only,3,0.31401170794479116,0.31401170794479116,0.6859882920552088,1.9631400720645515,0.551841615195599,0.7931532041071935
I1_reproduce_selection_only,4,0.3023126894508843,0.3023126894508843,0.6976873105491157,1.990744545103413,0.5575724422811011,0.7921348641670912
I1_reproduce_selection_only,5,0.2907803176138884,0.2907803176138884,0.7092196823861117,2.018172385256851,0.563673525999674,0.791007924127028
I1_reproduce_selection_only,6,0.279420601709574,0.279420601709574,0.720579398290426,2.0453973013782893,0.5701407745264975,0.7897463610745775
I1_reproduce_selection_only,7,0.26824106630272126,0.26824106630272126,0.7317589336972787,2.0723890362988837,0.5769678056144372,0.7883210753844664
I1_reproduce_selection_only,8,0.2572507701538159,0.2572507701538159,0.7427492298461841,2.099113258305945,0.5841454360559879,0.786700330566364
I1_reproduce_selection_only,9,0.2464602576288491,0.2464602576288491,0.753539742371151,2.125531634165377,0.5916612267174715,0.7848504191435369
I1_reproduce_selection_only,10,0.23588143322195035,0.23588143322195035,0.7641185667780497,2.1516021125810303,0.5994991183570754,0.7827365448658918
I1_reproduce_selection_only,11,0.22552735483980077,0.22552735483980077,0.7744726451601992,2.1772794338341495,0.6076391921647426,0.7803238901822365
I1_reproduce_selection_only,12,0.2154119477942043,0.2154119477942043,0.7845880522057957,2.2025158644240332,0.6160575838645772,0.7775788169734185
I1_reproduce_selection_only,13,0.20554964836971804,0.20554964836971804,0.794450351630282,2.2272621364817518,0.6247265713995249,0.7744701309625939
I1_reproduce_selection_only,14,0.19595499255873644,0.19595499255873644,0.8040450074412635,2.251468552752488,0.6336148443563626,0.770970328676304
I1_reproduce_selection_only,15,0.18664217121028528,0.18664217121028528,0.8133578287897147,2.2750862014674986,0.6426879496053416,0.7670567423390324
I1_reproduce_selection_only,16,0.17762457663749995,0.17762457663749995,0.8223754233625,2.298068213697426,0.6519088937138786,0.7627125035301044
I1_reproduce_selection_only,17,0.16891436712723532,0.16891436712723532,0.8310856328727647,2.3203709904421017,0.6612388702542981,0.7579272603561545
I1_reproduce_selection_only,18,0.16052207459092177,0.16052207459092177,0.8394779254090783,2.341955328508719,0.6706380706911512,0.7526976035404872
I1_reproduce_selection_only,19,0.15245627696559388,0.15245627696559388,0.8475437230344061,2.3627873828603674,0.6800665321916721,0.7470271814689774
I1_reproduce_selection_only,20,0.1447233514354482,0.1447233514354482,0.8552766485645518,2.3828394173150835,0.6894849749255393,0.740926509656074
I1_reproduce_selection_only,21,0.13732731785141566,0.13732731785141566,0.8626726821485844,2.402090313271617,0.6988555850171583,0.7344125032036766
I1_reproduce_selection_only,22,0.13026977472807352,0.13026977472807352,0.8697302252719264,2.4205258252337627,0.7081427065160865,0.7275077791327907
I1_reproduce_selection_only,23,0.12354992369251329,0.12354992369251329,0.8764500763074867,2.4381385900744976,0.7173134153938966,0.7202397874346489
I1_reproduce_selection_only,24,0.11716467287957966,0.11716467287957966,0.8828353271204203,2.4549279124066423,0.7263379593294663,0.7126398348388782
I1_reproduce_selection_only,25,0.11110880590598815,0.11110880590598815,0.8888911940940118,2.4708993599109172,0.7351900576413436,0.7047420641209445
I1_reproduce_selection_only,26,0.10537520085256509,0.10537520085256509,0.8946247991474349,2.4860642095048915,0.7438470651335535,0.6965824454740482
I1_reproduce_selection_only,27,0.09995508305578112,0.09995508305578112,0.9000449169442188,2.5004387879324885,0.7522900111444963,0.688197826650078
I1_reproduce_selection_only,28,0.09483829620916989,0.09483829620916989,0.9051617037908302,2.5140437493040944,0.7605035303919442,0.679625076907931
I1_reproduce_selection_only,29,0.09001357796139903,0.09001357796139903,0.9099864220386009,2.5269033281985935,0.768475705276182,0.6709003478031632
I1_reproduce_selection_only,30,0.085468828504016,0.085468828504016,0.914531171495984,2.539044601129849,0.7761978403670454,0.6620584626906131
I1_reproduce_selection_only,31,0.08119136322822713,0.08119136322822713,0.9188086367717728,2.550496782413233,0.7836641892388931,0.6531324372797804
I1_reproduce_selection_only,32,0.07716814311683785,0.07716814311683785,0.9228318568831622,2.561290573528423,0.7908716520739542,0.6441531260899735
I1_reproduce_selection_only,33,0.07338597892066884,0.07338597892066884,0.9266140210793312,2.571457578552646,0.7978194599663799,0.6351489842893784
I1_reproduce_selection_only,34,0.06983170722041297,0.06983170722041297,0.930168292779587,2.5810297925197396,0.8045088590106662,0.6261459310277071
I1_reproduce_selection_only,35,0.06649233813370581,0.06649233813370581,0.9335076618662942,2.5900391648474805,0.8109428043543522,0.6171672987002758
I1_reproduce_selection_only,36,0.06335517568394226,0.06335517568394226,0.9366448243160578,2.5985172363244367,0.8171256716558558,0.6082338522591079
I1_reproduce_selection_only,37,0.060407912729175985,0.060407912729175985,0.939592087270824,2.606494845508749,0.823062990953621,0.5993638633520919
I1_reproduce_selection_only,38,0.057638702905180084,0.057638702905180084,0.9423612970948199,2.6140018986491818,0.8287612058946918,0.5905732253927398
I1_reproduce_selection_only,39,0.055036212325325407,0.055036212325325407,0.9449637876746746,2.621067196244735,0.8342274596099823,0.58187559736117
I1_reproduce_selection_only,40,0.05258965386158715,0.05258965386158715,0.9474103461384129,2.627718308955416,0.8394694072443466,0.5732825659922295
I1_reproduce_selection_only,41,0.05028880676165502,0.05028880676165502,0.949711193238345,2.633981495613692,0.8444950542141452,0.5648038178589019
