selection_metric,competition_intensity,time,bridge_share,bridge_capacity,sink_capacity,bridge_selection_score,sink_selection_score,bridge_material_growth,sink_material_growth,mean_material_growth,population_mass
material viability,1.2,78.0,0.9993664888546965,0.8393914975714976,0.08540183118049689,0.032307095761174465,-0.04987175333477706,0.032307095761174465,-0.04987175333477706,0.032255034544363965,5.376113259524122
material viability,1.2,79.0,0.9994260863326796,0.8393914975714976,0.08540183062838928,0.032307095761174465,-0.04987175336794452,0.032307095761174465,-0.04987175336794452,0.0322599321964946,5.552360050740805
material viability,1.2,80.0,0.999480080117039,0.8393914975714976,0.08540183018930941,0.032307095761174465,-0.04987175339432192,0.032307095761174465,-0.04987175339432192,0.03226436934353967,5.734411604368651
engagement proxy,0.0,0.0,0.5,0.15,0.15,0.9898592419558198,0.9996702183654522,-0.04559436967823279,-0.045986808734618086,-0.04579058920642544,1.0
engagement proxy,0.0,1.0,0.5,0.2262300898669872,0.14350131997413967,0.978094729974778,0.9997065277040755,-0.04054998380697189,-0.04637818190971464,-0.043464082858343266,0.9562578407752316
engagement proxy,0.0,2.0,0.5,0.3217186394205687,0.13703705401463132,0.9437028145472574,0.9997386790075878,-0.03344499421665617,-0.04676732391942563,-0.0401061590680409,0.9169171351853951
engagement proxy,0.0,3.0,0.5,0.4581739064193398,0.13074540539071217,0.8052028888357591,0.9997665866605013,-0.01971768116826998,-0.04714593914297732,-0.03343181015562365,0.8832599656734331
engagement proxy,0.0,4.0,0.5,0.6453655430340038,0.12475438695298431,0.3771998631993433,0.999790386378143,0.008633938054066499,-0.047506352237946664,-0.019436207091940085,0.8594961440050799
engagement proxy,0.0,5.0,0.5,0.7895546439159127,0.11917108652487203,0.12123031833586638,0.9998103770217917,0.02752406590152011,-0.04784214988937935,-0.01015904199392962,0.8474825523172907
engagement proxy,0.0,6.0,0.5,0.8311272844621633,0.11407412406987848,0.08261272866902894,0.9998269572977312,0.031563127920968645,-0.04814863084771654,-0.008292751463373948,0.8398998364730802
engagement proxy,0.0,7.0,0.5,0.8381600504552323,0.10951038982060503,0.07730628260854738,0.9998405691694898,0.03219735172297204,-0.04842299937754329,-0.008112823827285624,0.833073059289423
engagement proxy,0.0,8.0,0.5,0.8392111590866499,0.10549605158479475,0.07654053103229247,0.9998516545303976,0.03229104830390729,-0.04866430308612822,-0.008186627391110465,0.826317554747151
engagement proxy,0.0,9.0,0.5,0.8393651560211912,0.10202088935468404,0.07642892743839776,0.9998606266584052,0.03230475226373557,-0.04887317170505517,-0.0082842097206598,0.8195421947848085
engagement proxy,0.0,10.0,0.5,0.8393876513848529,0.09905453721912168,0.07641263725367875,0.9998678546279998,0.03230675359294402,-0.04905144195197269,-0.008372344179514334,0.8127460841520772
engagement proxy,0.0,11.0,0.5,0.8393909360124324,0.09655322225896038,0.07641025893269754,0.9998736573938865,0.032307045803438045,-0.04920175296021784,-0.008447353578389896,0.8059403153188867
engagement proxy,0.0,12.0,0.5,0.8393914155822253,0.09446593267967208,0.07640991169325752,0.9998783041771583,0.03230708846720321,-0.04932717620630601,-0.008510043869551398,0.7991363589196324
engagement proxy,0.0,13.0,0.5,0.8393914856008375,0.09273940801995548,0.07640986099539039,0.9998820184046836,0.032307094696234634,-0.04943091625499002,-0.008561910779377693,0.7923443462395217
engagement proxy,0.0,14.0,0.5,0.839391495823749,0.09132175553659794,0.0764098535933639,0.9998849832631878,0.03230709560569038,-0.04951609399833163,-0.008604499196320625,0.7855728748643228
engagement proxy,0.0,15.0,0.5,0.8393914973163218,0.0901647789402422,0.07640985251264791,0.999887347652545,0.03230709573847339,-0.049585607169687275,-0.008639255715606944,0.7788290901907563
engagement proxy,0.0,16.0,0.5,0.8393914975342418,0.08922525186829317,0.0764098523548603,0.9998892318607592,0.032307095757860095,-0.04964205416233278,-0.008667479202236341,0.7721188354832669
engagement proxy,0.0,17.0,0.5,0.8393914975660586,0.08846541091833446,0.07640985233182296,0.9998907326383918,0.032307095760690595,-0.0496877046504356,-0.008690304444872503,0.7654468209865432
engagement proxy,0.0,18.0,0.5,0.839391497570704,0.08785292299998354,0.0764098523284594,0.9998919275633359,0.03230709576110386,-0.04972450172253442,-0.008708702980715279,0.7588167920592411
engagement proxy,0.0,19.0,0.5,0.8393914975713822,0.08736053343384034,0.07640985232796833,0.9998928787030527,0.0323070957611642,-0.04975408314209168,-0.00872349369046374,0.7522316858622716
engagement proxy,0.0,20.0,0.5,0.8393914975714811,0.08696554694839755,0.07640985232789668,0.9998936356373395,0.032307095761173,-0.049777812608589725,-0.008735358423708362,0.7456937713796662
engagement proxy,0.0,21.0,0.5,0.8393914975714956,0.08664924519418526,0.07640985232788625,0.9998942379258511,0.032307095761174284,-0.04979681480538292,-0.008744859522104319,0.739204770890786
engagement proxy,0.0,22.0,0.5,0.8393914975714976,0.0863963060272644,0.07640985232788475,0.9998947171072163,0.032307095761174465,-0.04981201032265278,-0.00875245728073916,0.7327659630791924
engagement proxy,0.0,23.0,0.5,0.8393914975714976,0.0861942619245578,0.07640985232788475,0.9998950983102336,0.032307095761174465,-0.04982414821693588,-0.008758526227880706,0.7263782691301315
engagement proxy,0.0,24.0,0.5,0.8393914975714976,0.08603301593684122,0.07640985232788475,0.9998954015476965,0.032307095761174465,-0.04983383510569739,-0.008763369672261462,0.7200423237274014
engagement proxy,0.0,25.0,0.5,0.8393914975714976,0.08590442148278551,0.07640985232788475,0.9998956427526959,0.032307095761174465,-0.049841560421140706,-0.00876723232998312,0.7137585330336738
engagement proxy,0.0,26.0,0.5,0.8393914975714976,0.08580192507995567,0.07640985232788475,0.9998958346071329,0.032307095761174465,-0.04984771787948798,-0.008770311059156759,0.7075271216848502
engagement proxy,0.0,27.0,0.5,0.8393914975714976,0.08572026720481259,0.07640985232788475,0.9998959872032318,0.032307095761174465,-0.04985262345584052,-0.008772763847333026,0.701348170655517
engagement proxy,0.0,28.0,0.5,0.8393914975714976,0.08565523468842301,0.07640985232788475,0.9998961085712029,0.032307095761174465,-0.04985653026154274,-0.008774717250184139,0.6952216476270544
engagement proxy,0.0,29.0,0.5,0.8393914975714976,0.08560345755655156,0.07640985232788475,0.9998962050998413,0.032307095761174465,-0.049859640750600565,-0.00877627249471305,0.6891474312531806
engagement proxy,0.0,30.0,0.5,0.8393914975714976,0.08556224345594267,0.07640985232788475,0.9998962818716066,0.032307095761174465,-0.0498621166675077,-0.008777510453166618,0.6831253304923564
engagement proxy,0.0,31.0,0.5,0.8393914975714976,0.08552944341612646,0.07640985232788475,0.9998963429294632,0.032307095761174465,-0.04986408711221094,-0.00877849567551824,0.6771550999736651
engagement proxy,0.0,32.0,0.5,0.8393914975714976,0.08550334345874921,0.07640985232788475,0.9998963914893184,0.032307095761174465,-0.049865655052047785,-0.00877927964543666,0.6712364521866815
engagement proxy,0.0,33.0,0.5,0.8393914975714976,0.0854825773562103,0.07640985232788475,0.9998964301091068,0.032307095761174465,-0.04986690256299165,-0.008779903400908593,0.6653690671366155
engagement proxy,0.0,34.0,0.5,0.8393914975714976,0.08546605658869418,0.07640985232788475,0.9998964608233464,0.032307095761174465,-0.04986789503761221,-0.008780399638218871,0.6595525999817364
engagement proxy,0.0,35.0,0.5,0.8393914975714976,0.0854529142200984,0.07640985232788475,0.999896485250202,0.032307095761174465,-0.04986868455680218,-0.008780794397813856,0.6537866870679047
engagement proxy,0.0,36.0,0.5,0.8393914975714976,0.0854424599969365,0.07640985232788475,0.9998965046766636,0.032307095761174465,-0.04986931258725035,-0.008781108413037943,0.6480709506917918
engagement proxy,0.0,37.0,0.5,0.8393914975714976,0.0854341444702238,0.07640985232788475,0.9998965201263095,0.032307095761174465,-0.04986981213683895,-0.008781358187832242,0.6424050028570752
engagement proxy,0.0,38.0,0.5,0.8393914975714976,0.08542753035510568,0.07640985232788475,0.9998965324132096,0.032307095761174465,-0.04987020947522204,-0.008781556857023788,0.636788448233758
engagement proxy,0.0,39.0,0.5,0.8393914975714976,0.08542226968581096,0.07640985232788475,0.9998965421848007,0.032307095761174465,-0.04987052550624337,-0.008781714872534454,0.6312208864874254
engagement proxy,0.0,40.0,0.5,0.8393914975714976,0.08541808560442085,0.07640985232788475,0.9998965499559919,0.032307095761174465,-0.04987077686197442,-0.008781840550399978,0.6257019141106568
engagement proxy,0.0,41.0,0.5,0.8393914975714976,0.08541475785060355,0.07640985232788475,0.9998965561362894,0.032307095761174465,-0.04987097677441536,-0.008781940506620449,0.6202311258612718
engagement proxy,0.0,42.0,0.5,0.8393914975714976,0.08541211120464942,0.07640985232788475,0.999896561051371,0.032307095761174465,-0.04987113576977588,-0.008782020004300707,0.6148081158902184
engagement proxy,0.0,43.0,0.5,0.8393914975714976,0.08541000628553752,0.07640985232788475,0.9998965649602461,0.032307095761174465,-0.0498712622212776,-0.008782083230051568,0.6094324786245572
engagement proxy,0.0,44.0,0.5,0.8393914975714976,0.08540833222591859,0.07640985232788475,0.9998965680689014,0.032307095761174465,-0.04987136278920094,-0.00878213351401324,0.6041038094572477
engagement proxy,0.0,45.0,0.5,0.8393914975714976,0.08540700084230837,0.07640985232788475,0.9998965705411557,0.032307095761174465,-0.04987144277110773,-0.008782173504966632,0.5988217052845806
engagement proxy,0.0,46.0,0.5,0.8393914975714976,0.0854059419959963,0.07640985232788475,0.9998965725072916,0.032307095761174465,-0.04987150638053188,-0.008782205309678708,0.5935857649234796
engagement proxy,0.0,47.0,0.5,0.8393914975714976,0.0854050999019218,0.07640985232788475,0.999896574070921,0.032307095761174465,-0.04987155696872154,-0.008782230603773537,0.5883955894341174
engagement proxy,0.0,48.0,0.5,0.8393914975714976,0.08540443019209282,0.07640985232788475,0.9998965753144444,0.032307095761174465,-0.049871597201052206,-0.00878225071993887,0.5832507823679149
engagement proxy,0.0,49.0,0.5,0.8393914975714976,0.08540389757948239,0.07640985232788475,0.9998965763033939,0.032307095761174465,-0.04987162919736681,-0.008782266718096173,0.5781509499567539
engagement proxy,0.0,50.0,0.5,0.8393914975714976,0.08540347399973106,0.07640985232788475,0.9998965770898856,0.032307095761174465,-0.049871654643611554,-0.008782279441218545,0.5730957012558906
engagement proxy,0.0,51.0,0.5,0.8393914975714976,0.0854031371330004,0.07640985232788475,0.9998965777153663,0.032307095761174465,-0.049871674880634626,-0.00878228955973008,0.5680846482504219
engagement proxy,0.0,52.0,0.5,0.8393914975714976,0.08540286922825668,0.07640985232788475,0.9998965782127985,0.032307095761174465,-0.04987169097481654,-0.00878229760682104,0.5631174059330631
engagement proxy,0.0,53.0,0.5,0.8393914975714976,0.08540265616813554,0.07640985232788475,0.9998965786083964,0.032307095761174465,-0.049871703774247725,-0.00878230400653663,0.5581935923593669
engagement proxy,0.0,54.0,0.5,0.8393914975714976,0.08540248672517715,0.07640985232788475,0.9998965789230074,0.032307095761174465,-0.04987171395340967,-0.008782309096117602,0.5533128286852037
engagement proxy,0.0,55.0,0.5,0.8393914975714976,0.08540235197028062,0.07640985232788475,0.9998965791732111,0.032307095761174465,-0.049871722048711604,-0.00878231314376857,0.5484747391903174
engagement proxy,0.0,56.0,0.5,0.8393914975714976,0.08540224480223152,0.07640985232788475,0.9998965793721927,0.032307095761174465,-0.049871728486753815,-0.008782316362789675,0.5436789512909497
engagement proxy,0.0,57.0,0.5,0.8393914975714976,0.08540215957352675,0.07640985232788475,0.9998965795304389,0.032307095761174465,-0.04987173360680595,-0.008782318922815741,0.5389250955439008
engagement proxy,0.0,58.0,0.5,0.8393914975714976,0.08540209179278953,0.07640985232788475,0.9998965796562888,0.032307095761174465,-0.04987173767868418,-0.008782320958754856,0.5342128056438903
engagement proxy,0.0,59.0,0.5,0.8393914975714976,0.08540203788809901,0.07640985232788475,0.9998965797563747,0.032307095761174465,-0.049871740916969054,-0.008782322577897295,0.5295417184156884
engagement proxy,0.0,60.0,0.5,0.8393914975714976,0.08540199501876644,0.07640985232788475,0.999896579835971,0.032307095761174465,-0.04987174349231285,-0.008782323865569194,0.5249114738021734
engagement proxy,0.0,61.0,0.5,0.8393914975714976,0.0854019609256419,0.07640985232788475,0.9998965798992724,0.032307095761174465,-0.04987174554043239,-0.008782324889628962,0.5203217148492272
engagement proxy,0.0,62.0,0.5,0.8393914975714976,0.08540193381206458,0.07640985232788475,0.9998965799496146,0.032307095761174465,-0.04987174716926071,-0.008782325704043123,0.5157720876881906
engagement proxy,0.0,63.0,0.5,0.8393914975714976,0.08540191224918359,0.07640985232788475,0.9998965799896506,0.032307095761174465,-0.04987174846463501,-0.008782326351730273,0.5112622415164418
engagement proxy,0.0,64.0,0.5,0.8393914975714976,0.08540189510066103,0.07640985232788475,0.9998965800214904,0.032307095761174465,-0.049871749494819956,-0.008782326866822746,0.5067918285765456
engagement proxy,0.0,65.0,0.5,0.8393914975714976,0.08540188146278936,0.07640985232788475,0.999896580046812,0.032307095761174465,-0.04987175031410512,-0.00878232727646533,0.5023605041343225
engagement proxy,0.0,66.0,0.5,0.8393914975714976,0.08540187061686769,0.07640985232788475,0.9998965800669499,0.032307095761174465,-0.049871750965665936,-0.008782327602245735,0.49796792645611687
engagement proxy,0.0,67.0,0.5,0.8393914975714976,0.08540186199132742,0.07640985232788475,0.9998965800829649,0.032307095761174465,-0.049871751483838954,-0.008782327861332245,0.4936137567854796
engagement proxy,0.0,68.0,0.5,0.8393914975714976,0.08540185513161146,0.07640985232788475,0.9998965800957015,0.032307095761174465,-0.04987175189593137,-0.008782328067378452,0.4892976593194368
engagement proxy,0.0,69.0,0.5,0.8393914975714976,0.08540184967621968,0.07640985232788475,0.9998965801058306,0.032307095761174465,-0.04987175222366005,-0.008782328231242791,0.48501930118447933
engagement proxy,0.0,70.0,0.5,0.8393914975714976,0.08540184533765825,0.07640985232788475,0.999896580113886,0.032307095761174465,-0.04987175248429595,-0.008782328361560742,0.48077835241237654
engagement proxy,0.0,71.0,0.5,0.8393914975714976,0.08540184188728925,0.07640985232788475,0.9998965801202925,0.032307095761174465,-0.049871752691574345,-0.00878232846519994,0.47657448591590185
engagement proxy,0.0,72.0,0.5,0.8393914975714976,0.08540183914328148,0.07640985232788475,0.9998965801253873,0.032307095761174465,-0.0498717528564186,-0.008782328547622068,0.4724073774645292
engagement proxy,0.0,73.0,0.5,0.8393914975714976,0.0854018369610284,0.07640985232788475,0.999896580129439,0.032307095761174465,-0.04987175298751586,-0.008782328613170697,0.46827670566015467
engagement proxy,0.0,74.0,0.5,0.8393914975714976,0.0854018352255273,0.07640985232788475,0.9998965801326614,0.032307095761174465,-0.049871753091774815,-0.008782328665300175,0.4641821519128839
engagement proxy,0.0,75.0,0.5,0.8393914975714976,0.08540183384531891,0.07640985232788475,0.9998965801352241,0.032307095761174465,-0.04987175317468983,-0.008782328706757683,0.4601234004169113
engagement proxy,0.0,76.0,0.5,0.8393914975714976,0.08540183274766748,0.07640985232788475,0.999896580137262,0.032307095761174465,-0.04987175324063043,-0.008782328739727983,0.45610013812652084
engagement proxy,0.0,77.0,0.5,0.8393914975714976,0.08540183187472787,0.07640985232788475,0.9998965801388828,0.032307095761174465,-0.04987175329307164,-0.008782328765948588,0.45211205473222116
engagement proxy,0.0,78.0,0.5,0.8393914975714976,0.08540183118049689,0.07640985232788475,0.9998965801401718,0.032307095761174465,-0.04987175333477706,-0.008782328786801297,0.44815884263703476
engagement proxy,0.0,79.0,0.5,0.8393914975714976,0.08540183062838928,0.07640985232788475,0.999896580141197,0.032307095761174465,-0.04987175336794452,-0.008782328803385028,0.4442401969329484
engagement proxy,0.0,80.0,0.5,0.8393914975714976,0.08540183018930941,0.07640985232788475,0.9998965801420121,0.032307095761174465,-0.04987175339432192,-0.008782328816573728,0.44035581537753327
engagement proxy,0.4,0.0,0.5,0.15,0.15,0.9898592419558198,0.9996702183654522,-0.04559436967823279,-0.045986808734618086,-0.04579058920642544,1.0
engagement proxy,0.4,1.0,0.4985447034875708,0.2262300898669872,0.14350131997413967,0.978094729974778,0.9997065277040755,-0.04054998380697189,-0.04637818190971464,-0.043472564614715936,0.9562555857087957
engagement proxy,0.4,2.0,0.4950903631204017,0.3217186394205687,0.13703705401463132,0.9437028145472574,0.9997386790075878,-0.03344499421665617,-0.04676732391942563,-0.040171566869271785,0.9168895034940366
engagement proxy,0.4,3.0,0.48455924192492966,0.4581739064193398,0.13074540539071217,0.8052028888357591,0.9997665866605013,-0.01971768116826998,-0.04714593914297732,-0.03385532325143173,0.8830741163108143
engagement proxy,0.4,4.0,0.4469819715753124,0.6453655430340038,0.12475438695298431,0.3771998631993433,0.999790386378143,0.008633938054066499,-0.047506352237946664,-0.02241265459841225,0.8582165767144213
engagement proxy,0.4,5.0,0.37186203613530017,0.7895546439159127,0.11917108652487203,0.12123031833586638,0.9998103770217917,0.02752406590152011,-0.04784214988937935,-0.019816315429563063,0.8411893127371175
engagement proxy,0.4,6.0,0.2918229764401223,0.8311272844621633,0.11407412406987848,0.08261272866902894,0.9998269572977312,0.031563127920968645,-0.04814863084771654,-0.02488690814656181,0.8228700964435804
engagement proxy,0.4,7.0,0.22158916378108115,0.8381600504552323,0.10951038982060503,0.07730628260854738,0.9998405691694898,0.03219735172297204,-0.04842299937754329,-0.03055840319344293,0.8004461635642295
engagement proxy,0.4,8.0,0.16413873007477306,0.8392111590866499,0.10549605158479475,0.07654053103229247,0.9998516545303976,0.03229104830390729,-0.04866430308612822,-0.035376394516210774,0.7745162206827273
engagement proxy,0.4,9.0,0.1192475516821334,0.8393651560211912,0.10202088935468404,0.07642892743839776,0.9998606266584052,0.03230475226373557,-0.04887317170505517,-0.039192903021138495,0.7461813467682736
engagement proxy,0.4,10.0,0.0853565599036107,0.8393876513848529,0.09905453721912168,0.07641263725367875,0.9998678546279998,0.03230675359294402,-0.04905144195197269,-0.042106986260293335,0.7164602685881301
engagement proxy,0.4,11.0,0.060424766549841774,0.8393909360124324,0.09655322225896038,0.07641025893269754,0.9998736573938865,0.032307045803438045,-0.04920175296021784,-0.044276602823165895,0.686173323128962
engagement proxy,0.4,12.0,0.04243125942606348,0.8393914155822253,0.09446593267967208,0.07640991169325752,0.9998783041771583,0.03230708846720321,-0.04932717620630601,-0.04586333154388841,0.6559324448721136
engagement proxy,0.4,13.0,0.029623846192693464,0.8393914856008375,0.09273940801995548,0.07640986099539039,0.9998820184046836,0.032307094696234634,-0.04943091625499002,-0.04700952199047425,0.6261679565811028
engagement proxy,0.4,14.0,0.02059749549572769,0.839391495823749,0.09132175553659794,0.0764098535933639,0.9998849832631878,0.03230709560569038,-0.04951609399833163,-0.04783074121901672,0.597166582552802
engagement proxy,0.4,15.0,0.014280222295476454,0.8393914973163218,0.0901647789402422,0.07640985251264791,0.999887347652545,0.03230709573847339,-0.049585607169687275,-0.04841616116778133,0.5691083095372687
engagement proxy,0.4,16.0,0.009880544164837222,0.8393914975342418,0.08922525186829317,0.0764098523548603,0.9998892318607592,0.032307095757860095,-0.04964205416233278,-0.04883235196727544,0.5420970840277219
engagement proxy,0.4,17.0,0.006826820708979119,0.8393914975660586,0.08846541091833446,0.07640985233182296,0.9998907326383918,0.032307095760690595,-0.0496877046504356,-0.049127940848960314,0.5161843444833882
engagement proxy,0.4,18.0,0.004712315572095638,0.839391497570704,0.08785292299998354,0.0764098523284594,0.9998919275633359,0.03230709576110386,-0.04972450172253442,-0.049337942948308386,0.4913861720681323
engagement proxy,0.4,19.0,0.0032505614543160335,0.8393914975713822,0.08736053343384034,0.07640985232796833,0.9998928787030527,0.0323070957611642,-0.04975408314209168,-0.04948733823705303,0.46769538885096135
engagement proxy,0.4,20.0,0.002241200548325553,0.8393914975714811,0.08696554694839755,0.07640985232789668,0.9998936356373395,0.032307095761173,-0.049777812608589725,-0.049593843866942156,0.44508990635074575
engagement proxy,0.4,21.0,0.001544770019110084,0.8393914975714956,0.08664924519418526,0.07640985232788625,0.9998942379258511,0.032307095761174284,-0.04979681480538292,-0.04966998314588801,0.4235383980618086
engagement proxy,0.4,22.0,0.0010645128100269551,0.8393914975714976,0.0863963060272644,0.07640985232788475,0.9998947171072163,0.032307095761174465,-0.04981201032265278,-0.04972459348227858,0.40300410895278693
engagement proxy,0.4,23.0,0.0007334520308362637,0.8393914975714976,0.0861942619245578,0.07640985232788475,0.9998950983102336,0.032307095761174465,-0.04982414821693588,-0.04976390888924502,0.3834473887146044
engagement proxy,0.4,24.0,0.0005052971823670908,0.8393914975714976,0.08603301593684122,0.07640985232788475,0.9998954015476965,0.032307095761174465,-0.04983383510569739,-0.049792329524773346,0.3648273600329415
engagement proxy,0.4,25.0,0.0003480892128779159,0.8393914975714976,0.08590442148278551,0.07640985232788475,0.9998956427526959,0.032307095761174465,-0.049841560421140706,-0.04981296536007123,0.34710300485013235
engagement proxy,0.4,26.0,0.0002397797832790954,0.8393914975714976,0.08580192507995567,0.07640985232788475,0.9998958346071329,0.032307095761174465,-0.04984771787948798,-0.049828018816077894,0.3302338609893144
engagement proxy,0.4,27.0,0.00016516560586952964,0.8393914975714976,0.08572026720481259,0.07640985232788475,0.9998959872032318,0.032307095761174465,-0.04985262345584052,-0.04983905349603797,0.3141804589222773
engagement proxy,0.4,28.0,0.00011376701580216388,0.8393914975714976,0.08565523468842301,0.07640985232788475,0.9998961085712029,0.032307095761174465,-0.04985653026154274,-0.04984718275100265,0.29890458580940493
engagement proxy,0.4,29.0,7.836209174889126e-05,0.8393914975714976,0.08560345755655156,0.07640985232788475,0.9998962050998413,0.032307095761174465,-0.049859640750600565,-0.049853201993255325,0.2843694351298576
engagement proxy,0.4,30.0,5.3974767854192835e-05,0.8393914975714976,0.08556224345594267,0.07640985232788475,0.9998962818716066,0.032307095761174465,-0.0498621166675077,-0.0498576816033421,0.27053968086864383
engagement proxy,0.4,31.0,3.7176814573986955e-05,0.8393914975714976,0.08552944341612646,0.07640985232788475,0.9998963429294632,0.032307095761174465,-0.04986408711221094,-0.04986103224938194,0.2573815022731711
engagement proxy,0.4,32.0,2.560656032644863e-05,0.8393914975714976,0.08550334345874921,0.07640985232788475,0.9998963914893184,0.032307095761174465,-0.049865655052047785,-0.0498635508905469,0.24486257653657464
engagement proxy,0.4,33.0,1.763716235463728e-05,0.8393914975714976,0.0854825773562103,0.07640985232788475,0.9998964301091068,0.032307095761174465,-0.04986690256299165,-0.049865453246841884,0.23295205098667301
engagement proxy,0.4,34.0,1.2148008224590669e-05,0.8393914975714976,0.08546605658869418,0.07640985232788475,0.9998964608233464,0.032307095761174465,-0.04986789503761221,-0.04986689677514813,0.22162050250164825
engagement proxy,0.4,35.0,8.367210231309669e-06,0.8393914975714976,0.0854529142200984,0.07640985232788475,0.999896485250202,0.032307095761174465,-0.04986868455680218,-0.04986799697477234,0.21083988929665268
engagement proxy,0.4,36.0,5.763094756177273e-06,0.8393914975714976,0.0854424599969365,0.07640985232788475,0.9998965046766636,0.032307095761174465,-0.04986931258725035,-0.04986883899682232,0.2005834985025732
engagement proxy,0.4,37.0,3.9694512972530415e-06,0.8393914975714976,0.0854341444702238,0.07640985232788475,0.9998965201263095,0.032307095761174465,-0.04986981213683895,-0.04986948593960529,0.19082589180473677
engagement proxy,0.4,38.0,2.7340405142220613e-06,0.8393914975714976,0.08542753035510568,0.07640985232788475,0.9998965324132096,0.032307095761174465,-0.04987020947522204,-0.04986998479914018,0.18154285063608155
engagement proxy,0.4,39.0,1.8831254024307174e-06,0.8393914975714976,0.08542226968581096,0.07640985232788475,0.9998965421848007,0.032307095761174465,-0.04987052550624337,-0.049870370755477254,0.17271132190021227
engagement proxy,0.4,40.0,1.2970401474795685e-06,0.8393914975714976,0.08541808560442085,0.07640985232788475,0.9998965499559919,0.032307095761174465,-0.04987077686197442,-0.0498706702739744,0.1643093648508247
engagement proxy,0.4,41.0,8.933620801737904e-07,0.8393914975714976,0.08541475785060355,0.07640985232788475,0.9998965561362894,0.032307095761174465,-0.04987097677441536,-0.04987090335964154,0.15631609951924358
